graph_model,sybil_size,overlap,rep,tau,w_eff,r_eff,sampled
erdos_renyi,10,0.7,25,0.2984539577350205,2.984539577350205,2.984539577350205,False
erdos_renyi,10,0.7,26,0.29828284990781573,2.982828499078157,2.982828499078157,False
erdos_renyi,10,0.7,27,0.29838671963896146,2.983867196389615,2.983867196389615,False
erdos_renyi,10,0.7,28,0.30028017239738847,3.0028017239738847,3.0028017239738847,False
erdos_renyi,10,0.7,29,0.3001527777945857,3.0015277779458573,3.0015277779458573,False
erdos_renyi,10,1.0,0,0.0,0.0,0.0,False
erdos_renyi,10,1.0,1,0.0,0.0,0.0,False
erdos_renyi,10,1.0,2,0.0,0.0,0.0,False
erdos_renyi,10,1.0,3,0.0,0.0,0.0,False
erdos_renyi,10,1.0,4,0.0,0.0,0.0,False
erdos_renyi,10,1.0,5,0.0,0.0,0.0,False
erdos_renyi,10,1.0,6,0.0,0.0,0.0,False
erdos_renyi,10,1.0,7,0.0,0.0,0.0,False
erdos_renyi,10,1.0,8,0.0,0.0,0.0,False
erdos_renyi,10,1.0,9,0.0,0.0,0.0,False
erdos_renyi,10,1.0,10,0.0,0.0,0.0,False
erdos_renyi,10,1.0,11,0.0,0.0,0.0,False
erdos_renyi,10,1.0,12,0.0,0.0,0.0,False
erdos_renyi,10,1.0,13,0.0,0.0,0.0,False
erdos_renyi,10,1.0,14,0.0,0.0,0.0,False
erdos_renyi,10,1.0,15,0.0,0.0,0.0,False
erdos_renyi,10,1.0,16,0.0,0.0,0.0,False
erdos_renyi,10,1.0,17,0.0,0.0,0.0,False
erdos_renyi,10,1.0,18,0.0,0.0,0.0,False
erdos_renyi,10,1.0,19,0.0,0.0,0.0,False
erdos_renyi,10,1.0,20,0.0,0.0,0.0,False
erdos_renyi,10,1.0,21,0.0,0.0,0.0,False
erdos_renyi,10,1.0,22,0.0,0.0,0.0,False
erdos_renyi,10,1.0,23,0.0,0.0,0.0,False
erdos_renyi,10,1.0,24,0.0,0.0,0.0,False
erdos_renyi,10,1.0,25,0.0,0.0,0.0,False
erdos_renyi,10,1.0,26,0.0,0.0,0.0,False
erdos_renyi,10,1.0,27,0.0,0.0,0.0,False
erdos_renyi,10,1.0,28,0.0,0.0,0.0,False
erdos_renyi,10,1.0,29,0.0,0.0,0.0,False
erdos_renyi,30,0.0,0,0.6283637081078385,18.850911243235153,18.850911243235153,False
erdos_renyi,30,0.0,1,0.6295424831433244,18.88627449429973,18.88627449429973,False
erdos_renyi,30,0.0,2,0.6283622047584434,18.8508661427533,18.8508661427533,False
erdos_renyi,30,0.0,3,0.6287994103356835,18.863982310070504,18.863982310070504,False
erdos_renyi,30,0.0,4,0.6297971684178172,18.893915052534517,18.893915052534517,False
erdos_renyi,30,0.0,5,0.6284248335893241,18.852745007679722,18.852745007679722,False
erdos_renyi,30,0.0,6,0.6303202359962761,18.909607079888282,18.909607079888282,False
erdos_renyi,30,0.0,7,0.6304061016561415,18.912183049684245,18.912183049684245,False
erdos_renyi,30,0.0,8,0.6291569788385543,18.874709365156626,18.874709365156626,False
erdos_renyi,30,0.0,9,0.6287803561496624,18.863410684489875,18.863410684489875,False
erdos_renyi,30,0.0,10,0.6290218355690469,18.870655067071407,18.870655067071407,False
erdos_renyi,30,0.0,11,0.6292953708642247,18.87886112592674,18.87886112592674,False
erdos_renyi,30,0.0,12,0.6288572664340553,18.865717993021658,18.865717993021658,False
erdos_renyi,30,0.0,13,0.6299352001249624,18.898056003748874,18.898056003748874,False
erdos_renyi,30,0.0,14,0.6305736563588709,18.917209690766125,18.917209690766125,False
erdos_renyi,30,0.0,15,0.6298812136692018,18.896436410076053,18.896436410076053,False
erdos_renyi,30,0.0,16,0.6298550556197718,18.895651668593157,18.895651668593157,False
erdos_renyi,30,0.0,17,0.6303399361432651,18.910198084297953,18.910198084297953,False
erdos_renyi,30,0.0,18,0.6301152166075354,18.903456498226063,18.903456498226063,False
erdos_renyi,30,0.0,19,0.6303927144635728,18.911781433907183,18.911781433907183,False
erdos_renyi,30,0.0,20,0.6291081116407595,18.873243349222786,18.873243349222786,False
erdos_renyi,30,0.0,21,0.6295452422704482,18.886357268113446,18.886357268113446,False
erdos_renyi,30,0.0,22,0.6288232722779046,18.86469816833714,18.86469816833714,False
erdos_renyi,30,0.0,23,0.6306527819998002,18.91958345999401,18.91958345999401,False
erdos_renyi,30,0.0,24,0.6291984124276764,18.87595237283029,18.87595237283029,False
erdos_renyi,30,0.0,25,0.6279565157732652,18.838695473197955,18.838695473197955,False
erdos_renyi,30,0.0,26,0.6286263945832518,18.858791837497552,18.858791837497552,False
erdos_renyi,30,0.0,27,0.6287034173893722,18.861102521681165,18.861102521681165,False
erdos_renyi,30,0.0,28,0.6308386339996452,18.92515901998936,18.92515901998936,False
erdos_renyi,30,0.0,29,0.6286937928706482,18.860813786119447,18.860813786119447,False
erdos_renyi,30,0.3,0,0.5435546618879732,16.306639856639194,16.306639856639194,False
erdos_renyi,30,0.3,1,0.5438005830094921,16.314017490284762,16.314017490284762,False
erdos_renyi,30,0.3,2,0.543851311569409,16.31553934708227,16.31553934708227,False
erdos_renyi,30,0.3,3,0.5435302709447698,16.305908128343095,16.305908128343095,False
erdos_renyi,30,0.3,4,0.5429579654118462,16.288738962355385,16.288738962355385,False
erdos_renyi,30,0.3,5,0.5415666559595245,16.246999678785734,16.246999678785734,False
